EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010506527,NATIONAL CORVETTE RESTORERS SOCIETY,% DICK CAPELLO,231 COUNTRY DR,WESTON,MA,02493-1137,0000,07,3,1000,199702,0,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,,
010516646,NORTH AMERICAN MARINE ALLIANCE INC,% NIAZ DORRY,222 MAIN ST,GLOUCESTER,MA,01930-6021,0000,03,3,1000,199806,1,15,994350000,1,01,202412,6,6,01,0,12,1759145,2742214,2742214,C013,
010518534,SHARING FOUNDATION,% DR NANCY W HENDRIE,PO BOX 600,CONCORD,MA,01742-0600,0000,03,3,1000,199807,1,15,994602000,1,01,202403,7,6,01,0,03,9086939,1346678,1345381,Q123,
010547026,NEW ENGLAND PREPARATORY SCHOOL ATHLETIC COUNCIL,,10 TECHNOLOGY DR SUITE 40 147,HUDSON,MA,01749-2791,0000,03,3,1000,201408,1,16,000000000,1,01,202406,4,5,01,0,06,227027,631587,631587,B99,
010548247,BOSTON CHURCH FOR MISSION KMC,% INN KYONG CHUNG,30 GORDON ST,ALLSTON,MA,02134-1924,0000,03,3,7100,200310,1,10,000000000,1,01,,1,3,06,0,12,,,,X21,
010549413,ASSOCIATION FOR THE DEVELOPMENT OF LAZILE INC,% SEVERE JACQUET,4344 WASHINGTON STREET,ROSLINDALE,MA,02131-3484,0000,03,3,2000,200404,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,W12,
010556446,QUINCY ASIAN RESOURCES INC,,275 HANCOCK ST STE 205,QUINCY,MA,02171-2371,0000,03,3,1000,200211,1,15,000000000,1,01,202406,6,6,01,0,06,2902952,4383751,4062832,P80,
010556535,COOLIDGE CORNER COMMUNITY CHORUS,% CRISPIN B WEINBERG,25 BEALS ST,BROOKLINE,MA,02446-6010,0000,03,3,1200,200404,1,16,000000000,1,01,202507,0,0,02,0,07,0,0,0,A68,
010556614,NEW ENGLAND CLUB BASEBALL ASSOCIATION,% STEVE PINNER,16 HOWE ST,HUDSON,MA,01749-1529,0000,03,3,1200,201408,1,15,000000000,1,01,202508,0,0,02,0,08,0,0,0,N63,
010557632,FRIENDS OF ASHA USA INC,% LOUANNE HEMPTON,15 NOTRE DAME AVE,CAMBRIDGE,MA,02140-2505,0000,03,3,1000,200303,1,15,000000000,1,01,202412,3,4,01,0,12,66712,314063,309011,E127,ASHA USA
010558856,LUBAVITCH CHABAD OF WESTBOROUGH INC,% MICHAEL GREEN,54 SOUTH ST,WESTBOROUGH,MA,01581-1629,0000,03,3,7120,200210,1,10,000000000,1,01,202212,5,5,06,0,12,636617,690271,690271,X30,
010559208,BRAINTREE COMMUNITY ACCESS AND MEDIA INC,,PO BOX 850271,BRAINTREE,MA,02185-0271,0000,03,3,2000,200407,1,04,000000000,1,01,202412,6,5,00,1,12,1794264,737489,,A32,
010559869,EASTERN MASSACHUSETTS HOCKEY INC,,5 GEORGE AVE,WOBURN,MA,01801-2704,0000,03,3,1000,200410,2,16,000000000,1,01,202412,4,4,01,0,12,394687,476987,451565,N70,
010561467,IGLESIA ARCA DE SALVACION INC,,64 WATER ST STE 6,ATTLEBORO,MA,02703-2065,0000,03,3,7100,201412,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010561478,FRIENDS OF THE HONAN ALLSTON LIBRARY INC,% PAULA ALEXANDER,300 N HARVARD ST,ALLSTON,MA,02134-1530,0000,03,3,1000,200206,1,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,B11,
010563707,AVELINA CHARITABLE FOUNDATION INC,% GERARD C LORUSSO,320 SOUTH ST,PLAINVILLE,MA,02762-1529,0000,03,3,1000,200203,1,04,000000000,1,01,202412,1,2,00,1,12,2002,10000,,T20,
010563874,JEWISH ALLIANCE FOR LAW AND SOCIAL ACTION INC,,11 BEACON ST STE 722,BOSTON,MA,02108-3002,0000,03,3,1000,200207,1,16,000000000,1,01,202412,6,6,01,0,12,2048965,1575705,1543788,A99,
010565223,CANTON COMMUNITY THEATRE INC,% KATHY ALFANO,19 BLACKMAN RD,CANTON,MA,02021-2314,0000,03,3,2000,200511,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,,
010567051,NORTH SHORE RUGBY FOOTBALL CLUB INC,% GUSTAVEO A DELPUERTO,8 DERBY ST,SALEM,MA,01970-5621,0000,03,3,1000,201201,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,N12,
010567634,INFRAGARD BOSTON MEMEBERS ALLIANCE INC,% JOEL WEINSTEIN,462 WASHINGTON STREET,WOBURN,MA,01888-8060,0000,03,3,1000,201509,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,Q43,
010568837,BONNEY FAMILY FOUNDATION INC,% ALISON G BONNEY,CO FCM 1881 WORCESTER ROAD 200,FRAMINGHAM,MA,01701-0000,0000,03,3,1000,200203,1,04,000000000,1,01,202412,8,7,00,1,12,16583364,6059724,,T22,
010569403,HRCA BROOKLINE HOUSING 1550 BEACON PLAZA,% MASANO MURATA,1200 CENTRE ST,BOSTON,MA,02131-1000,0000,03,3,1000,200207,1,16,000000000,1,01,202409,8,7,01,0,09,19893507,6012216,6002165,L25,
010569404,CENTER COMMUNITIES OF BROOKLINE INC,% MASANO MURATA,1200 CENTRE ST,BOSTON,MA,02131-1000,0000,03,3,1000,200207,1,16,000000000,1,01,202409,8,7,01,0,09,22456149,7613483,7557128,L25,
010569773,ANOINTED FIRE CHURCH,% PASTOR SANDRA WILLIAMS,777 WASHINGTON ST,DORCHESTER,MA,02124-4423,0000,03,3,7000,201003,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010573982,FARAWAY STARS PRODUCTIONS LTD,% FARAWAY STARS PRODUCTIONS LTD,PO BOX 2284,NANTUCKET,MA,02584-2284,0000,03,3,2000,200205,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A65,
010578690,PLYMOUTH SOUTH PANTHERS BOOSTER CLUB INC,% PAUL V VICKERY,490 LONG POND RD,PLYMOUTH,MA,02360-2647,0000,03,3,1200,202203,1,16,000000000,1,01,202406,4,4,01,0,06,126341,118647,111370,P20,
010579504,NO LIMIT MEDIA INC,% DAN JONES VP,64 CALUMET STREET,BOSTON,MA,02120-3638,0000,03,3,2000,202401,1,15,000000000,1,01,202408,3,4,01,0,08,26228,144727,144727,A30,
010581411,BRIGHAM COMMUNITY HOUSE INC,% JOHN RICE,20 HARTFORD ST,NEWTON,MA,02461-1517,0000,03,3,2100,200204,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,O50,
010582906,FREDERICK S THOMPSON COLLEGE SCHOLARSHIP,% THOMPSONS GYMNASTICS,200 OLD LYMAN RD,SOUTH HADLEY,MA,01075-2632,0000,03,3,1000,200206,1,04,000000000,1,01,202412,3,1,00,1,12,26063,1525,,T22,
010583036,MICHAEL C ROTHBERG 9-11 MEMORIAL SCHOLARSHIP FUND,% TERI GORSKY,PO BOX 116,SHARON,MA,02067-0116,0000,03,3,1200,200306,1,15,000000000,1,01,202412,4,2,02,0,12,208576,24480,24480,B82,
010588292,URBAN WILDLIFE REHABILITATION INC,% DAVEDA HOWE,146 BOWDOIN ST,SPRINGFIELD,MA,01109-4003,0000,03,3,4200,200401,1,15,000000000,1,01,202412,4,4,01,0,12,170314,204042,204042,D34,
010594911,ASHLAND YOUTH BASKETBALL INC,% MATTHEW ABRAHAMS,19 RIDGEWOOD ST,ASHLAND,MA,01721-1368,0000,03,3,1000,201703,1,16,000000000,1,01,202506,3,4,01,0,06,86974,110771,110771,N62,
010595450,VISITATION HOUSE INC,% EVELYN LINDQUIST,PO BOX 60115,WORCESTER,MA,01606-0115,0000,03,3,1000,200406,1,15,000000000,1,01,202408,6,5,01,0,08,1536125,788234,755017,P45,
010597142,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% SUSAN MURPHY,8 BEACON STREET,BOSTON,MA,02108-3722,1381,05,9,3000,195708,2,00,263264279,5,01,202412,0,0,02,0,12,0,0,0,,L2532MA LOWELL MA MIDDLE MGMT EMPLS
010598057,FRIENDS OF HOLLY HILL FARM INC,% JEAN WHITE,236 JERUSALEM RD,COHASSET,MA,02025-1109,0000,03,3,2000,200206,1,16,000000000,1,01,202412,6,6,01,0,12,1613039,2241449,2211517,P30,
010598494,TEN CROSS STREET CORPORATION,% NEWTON-WELLESLEY-WESTON COMMITTEE,1301 CENTRE ST,NEWTON CENTRE,MA,02459-2448,0000,03,3,1000,200208,1,16,000000000,1,01,202506,5,4,01,0,06,542981,130356,130356,L21,
010598828,THE WESTPORT MISSION OF THE HOLY SPIRIT OF EUGENE RICHER DIT LAFLEC,% EILEEN HENNESSEY,34 LAUREL ST,FALL RIVER,MA,02724-3630,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,02,,,,X20,
010609687,LOWELL CAMBODIAN CHRISTIAN CHURCH,% RINN R SIM,225 STEDMAN ST STE 33,LOWELL,MA,01851-2793,0000,03,3,7000,200210,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010609688,INTERNATIONAL DRUG PREVENTION FOUNDATION INC,% JENNER MENDES,500 BROADWAY APT 2124,MALDEN,MA,02148-2074,0000,03,3,1000,200802,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,Q30,
010613583,NORTH STAR SELF DIRECTED LEARNING FOR TEENS INC,% KENNETH D DANFORD,45 AMHERST RD,SUNDERLAND,MA,01375-9450,0000,03,3,2000,200207,1,15,000000000,1,01,202507,4,4,01,0,07,147736,465999,436159,B80,
010615117,BOSTON PLEDGE INC,% PARTHA S GHOSH PRESIDENT,7 WAINWRIGHT RD UNIT 66,WINCHESTER,MA,01890-2379,0000,03,3,1000,200307,1,15,000000000,1,01,202412,3,1,02,0,12,46045,4794,4794,Q30,
010616885,STONEHAM YOUTH FOOTBALL AND CHEER,,19 WINTHROP ST,STONEHAM,MA,02180-2581,0000,03,3,1000,202311,1,15,317000000,1,01,202412,2,2,02,0,12,16017,15000,15000,N65,
010620597,PLAINVILLE PARENT TEACHER ORGANIZATION INC,% DEBBIE LACY,68 MESSENGER ST,PLAINVILLE,MA,02762-2259,0000,03,3,1200,202211,1,16,000000000,1,01,202506,3,4,01,0,06,61782,117159,72226,B94,
010623416,DEAF CHRISTIAN EVANGELISTIC ASSOCIATION INTERNATIONAL,% JOB A AYANTOLA,25 SVENSON RD,SHREWSBURY,MA,01545-5747,0000,03,3,1000,200212,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P20,
010624575,FRIENDS OF ROBBINS FARM PARK INC,% STEVE MCHUGH,PO BOX 750013,ARLINGTON,MA,02476-0000,0000,03,3,1000,200204,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,S20,
010627659,URBAN FRONTIERS MISSION,% LESLIE ENGELSEN,24 A MARGIN STREET,LYNN,MA,01905-1990,0000,03,3,1000,200207,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,X12,
010628078,HOLYOKE COMMUNITY MEDIA INC,,536 DWIGHT ST STE 1,HOLYOKE,MA,01040-5019,0000,03,3,2000,200701,1,15,000000000,1,01,202412,6,5,01,0,12,3236631,669628,669628,B02,
010628197,HIGH PLAIN ELEMENTARY PARENT TEACHER ORGANIZATION INC,% SUSAN HUNTER,333 HIGH PLAIN RD,ANDOVER,MA,01810-3264,0000,03,3,1000,200307,1,15,000000000,1,01,202506,3,4,01,0,06,95344,160518,130477,B94,HIGH PLAIN ELEMENTARY SCHOOL
010628266,BUILDING FUTURES INC,% PAUL J GIORGIO,630A PLANTATION ST,WORCESTER,MA,01605-2038,0000,03,3,1000,201705,1,15,000000000,1,01,202403,8,6,01,0,03,18871085,1521889,1521889,P20,
010632121,ASSOCIACAO DE SOLIDAREDADE SOCIAL INC,% MANUEL ANDRADE,17 PROSPECT ST,BROCKTON,MA,02301-2975,0000,03,3,7000,200302,1,10,000000000,1,01,202412,4,3,06,0,12,427417,76800,76800,X20,
010635801,P O W E R INTERNATIONAL,% BEULAH C DAVIS,26 CLIFTWOOD ST,SPRINGFIELD,MA,01108-2602,0000,03,3,1000,200405,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010641563,TAUNTON AREA BABE RUTH LEAGUE INC,% BRYAN S KLUGH,391 W WATER ST,TAUNTON,MA,02780-4899,0000,03,3,1000,201104,1,15,000000000,1,01,202412,1,3,01,0,12,6243,70144,70144,N63,
010642622,MARINE CORPS LEAGUE,% DONALD SMITH,PO BOX 83,FISKDALE,MA,01518-0083,0955,04,9,3000,194607,1,00,908279265,5,01,202506,0,0,02,0,06,0,0,0,,1094 S CENTRAL MASS DET MCL
010647374,NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,,308 CONGRESS ST FL 5,BOSTON,MA,02210-1015,0000,03,3,1000,200210,1,15,000000000,1,01,202412,7,7,01,0,12,7590633,8512445,8512445,P05,NICHQ
010650369,WENHAM FIRE COMPANY INC,% DANIEL SULLIVAN,140 MAIN ST,WENHAM,MA,01984-1520,0000,03,3,1000,201405,1,15,000000000,1,01,202412,2,2,02,0,12,19268,15924,15924,M24,
010654140,CLARK SHORES WATER CORPORATION,% PATRICIA WELCH,PO BOX 1122,LAKEVILLE,MA,02347-1122,0000,12,3,2000,202404,2,00,000000000,1,01,202412,6,4,01,0,12,3485308,231332,231332,Y22,
010655670,SOUTH CHATHAM VILLAGE ASSOCIATION INC,% CAROL GORDON,2646 MAIN STREET,SOUTH CHATHAM,MA,02659-0000,0000,03,3,1200,202308,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,A99,
010657466,WILLIE BYERS MEMORIAL SCHOLARSHIP FUND,% CAMILLE BYERS,915 LIVINGSTON ST,TEWKSBURY,MA,01876-1356,0000,03,3,2000,200508,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,B82,
010658160,MISSION MARANTHA INC,% SIMONE BAMBA,3 TAFT RD,WILMINGTON,MA,01887-2818,0000,03,3,1270,200301,1,10,000000000,1,01,,0,0,06,0,10,,,,X20,
010658230,PONN FAMILY FOUNDATION,% STEPHEN N WILCHINS,20 WILLIAM STREET,WELLESLEY,MA,02481-4103,0000,03,3,1200,200207,1,04,000000000,1,01,202412,5,3,00,1,12,703883,86952,,T22,
010660648,CREATIVE OPPORTUNITIES UNLIMITED,% SAMANTHA NELSON,19 RINDGE AVE APT 2,CAMBRIDGE,MA,02140-1934,3839,03,9,1000,200202,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,B99,MASSACHUSETTS ODYSSEY OF THE MIND
010660817,FINCA VIGIA FOUNDATION INC,% JENNY PHILLIPS,25 CHANNEL CTR ST UNIT 1003,BOSTON,MA,02210-3419,0000,03,3,1000,200403,1,15,000000000,1,01,202412,4,4,01,0,12,243546,368460,368460,A80,
010665790,COUNCIL OF STATE ARCHIVISTS,% VICTORIA I WALCH,6 LIBERTY SQ 95366,BOSTON,MA,02109-5800,0000,03,3,1000,200303,1,15,000000000,1,01,202412,4,5,01,0,12,481838,592293,589745,A80,
010667451,YO INC,% ISAAC KRIEGMAN,20 DORCAR RD,NEWTON,MA,02467-3021,0000,03,3,7000,200503,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010672105,ALLIANCE OF CHESAPEAKE BAY INC,% ALLIANCE HEALTH INC,144 TURNPIKE ROAD,SOUTHBOROUGH,MA,01772-2121,0000,03,3,1000,200206,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P80,
010672424,NASHOBA LEARNING GROUP INC,% MAUREEN VIBERT,10 OAK PARK DR,BEDFORD,MA,01730-1414,0000,03,3,2000,200210,1,11,000000000,1,01,202406,8,8,01,0,06,17127584,25186866,23508662,B28,
010675137,SHAWSHEEN SCHOOL PARENT TEACHER ORGANIZATION,% SHANNON HARTNETT,18 MAGNOLIA AVE,ANDOVER,MA,01810-2552,0000,03,3,1200,200308,1,16,000000000,1,01,202508,0,0,02,0,08,0,0,0,B94,
010676306,CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC,% JILL BATTY,COMMERCE PLACE 350 MAIN ST SUITE 31,MALDEN,MA,02148-0000,0000,03,3,1000,200205,1,17,000000000,1,01,202406,7,6,01,0,06,6722045,4304881,4195562,E11,
010678478,NORTHBOROUGH PATROLMANS ASSOCIATION INC,% MICHAEL EDMONDS,211 MAIN ST,NORTHBOROUGH,MA,01532-1625,0000,04,3,3000,200503,2,00,000000000,1,01,202412,3,3,02,0,12,66128,46293,46293,S19,
010679061,SMF FOUNDATION,,163 RANGELEY RD,CHESTNUT HILL,MA,02467-3143,0000,03,3,1000,200210,1,04,000000000,2,01,202412,6,5,00,1,12,4421831,956510,,T70,PALMER & DODGE LLP
010681110,CENTRAL PARENTS ORGANIZATION,% HYMAN FINE ELEMENTARY SCHOOL,790 OAKHILL AVE,ATTLEBORO,MA,02703-7325,0000,03,3,1200,201211,1,16,000000000,1,01,202406,3,3,01,0,06,69434,93953,68127,B94,HYMAN FINE PTO INC
010689523,JOSIAH QUINCY SCHOOL ASSOCIATION,% JOSEPH HSIAO,885 WASHINGTON STREET,BOSTON,MA,02111-1416,0000,03,3,5200,200308,1,16,000000000,1,01,202506,5,4,01,0,06,646820,311263,311263,B112,
010692572,NEMASKET RIVER PRODUCTIONS INC,% MERRIE MIZARAS,PO BOX 269,MIDDLEBOROUGH,MA,02346-0269,0000,03,3,1000,200908,1,16,000000000,1,01,202212,2,2,02,0,12,11273,17221,17221,A65,
010694293,SPRAGUE SCHOOL PARENT TEACHER ORGANIZATION INC,% BRIAN D DOYCE,401 SCHOOL ST,WELLESLEY,MA,02482-4724,0000,03,3,1000,200209,1,16,000000000,1,01,202406,3,3,01,0,06,83420,97171,76877,B94,SPRAGUE SCHOOL
010694629,MALCOLM X-ELLA L LITTLE COLLINS FAMILY FOUNDATION INC,% RODNELL P COLLINS,72 DALE ST APT 3,ROXBURY,MA,02119-1660,0000,03,3,1200,202006,1,04,000000000,1,01,202412,1,1,00,1,12,1,1,,A80,
010697366,INTERNATIONAL INSTITUTE FOR JUSTICE AND DEVELOPMENT INC,,PO BOX 170594,BOSTON,MA,02117-0604,0000,03,3,1000,200409,1,15,000000000,1,01,202501,0,0,02,0,01,0,0,0,Q020,IIJD INC
010698913,NEW ENGLAND COLLEGIATE BASEBALL LEAGUE INC,% JASON DOHANEY PRESIDENT,PO BOX 540,NORTH ADAMS,MA,01247-0540,3708,03,9,1000,200102,1,15,000000000,5,01,202412,2,4,01,0,12,11588,120882,94784,N63,NORTH ADAMS STEEPLECATS INC
010699762,COMPASSIONATE INTERNATIONAL FELLOWSHIP INC,% PETER MAINA,3620 MYSTIC VALLEY PKWY APT E406,MEDORD,MA,02155-5756,0000,03,3,1270,200501,1,10,000000000,1,01,,2,2,06,0,06,,,,X20,
010704651,FRENCH BULLDOG RESCUE NETWORK A NONPROFIT CORPORATION,% CHARLOTTE CREELEY,6 LIBERTY SQ PMB 94696,BOSTON,MA,02109-5800,0000,03,3,4200,200207,1,16,000000000,1,01,202412,4,4,01,0,12,451533,453007,449069,D20,
