ppin,name,address,city,state,zip,latitude,longitude,gradeRange,enrollment,phone,type
00001354,MOBILE CHRISTIAN SCHOOL,5900 COTTAGE HILL RD,MOBILE,AL,36609,30.643910,-88.179541,,612,2516611613,private
00001412,WESTMINSTER CHRISTIAN ACADEMY,237 JOHNS RD NW,HUNTSVILLE,AL,35806,34.759957,-86.675797,,718,2567058000,private
00001445,ATHENS BIBLE SCHOOL,700 US HIGHWAY 31 N,ATHENS,AL,35611,34.812084,-86.946555,,256,2562323525,private
00001478,TRINITY PRESBYTERIAN SCHOOL,1700 E TRINITY BLVD,MONTGOMERY,AL,36106,32.353750,-86.234241,,601,3342132100,private
00001503,HOUSTON ACADEMY,901 BUENA VISTA DR,DOTHAN,AL,36303,31.244414,-85.449049,,666,3347944106,private
00001558,TUSCALOOSA ACADEMY,420 RICE VALLEY RD N,TUSCALOOSA,AL,35406,33.244140,-87.540681,,435,2057584462,private
00001569,UMS-WRIGHT PREPARATORY SCHOOL,65 MOBILE ST,MOBILE,AL,36607,30.689950,-88.105231,,1132,2514709021,private
00001605,RANDOLPH SCHOOL,1005 DRAKE AVE SE,HUNTSVILLE,AL,35802,34.706400,-86.558646,,926,2567996115,private
00001616,THE ALTAMONT SCHOOL,PO BOX 131429,BIRMINGHAM,AL,35213,33.513777,-86.758239,,362,2058743501,private
00001693,CHAMBERS ACADEMY,15048 US HIGHWAY 431,LAFAYETTE,AL,36862,32.873102,-85.406545,,263,3348649852,private
00001751,COTTAGE HILL CHRISTIAN ACADEMY AT WEST CAMPUS,7355 CREEKWOOD DR,MOBILE,AL,36695,30.651601,-88.215197,,604,2516342513,private
00001864,EDGEWOOD ACADEMY,PO BOX 160,ELMORE,AL,36025,32.547302,-86.292789,,221,3345675102,private
00001897,FORT DALE ACADEMY,1100 GAMBLE ST,GREENVILLE,AL,36037,31.836133,-86.641349,,433,3343822606,private
00001933,GLEN IRIS BAPTIST SCHOOL,1137 10TH PL S,BIRMINGHAM,AL,35205,33.493674,-86.812551,,96,2053231516,private
00001944,DECATUR HERITAGE CHRISTIAN ACADEMY,PO BOX 5659,DECATUR,AL,35601,34.536460,-86.998231,,323,2563514275,private
00002154,LYMAN WARD MILITARY ACADEMY,PO BOX 550,CAMP HILL,AL,36850,32.802927,-85.660694,,98,2563072533,private
00002198,MEADOWVIEW CHRISTIAN SCHOOL,1512 OLD ORRVILLE RD,SELMA,AL,36701,32.404780,-87.061921,,163,3348728448,private
00002234,NORTHSIDE METHODIST CHURCH & ACADEMY,2600 REDMOND RD,DOTHAN,AL,36303,31.262430,-85.432871,,621,3347947273,private
00002278,PICKENS ACADEMY,225 RAY BASS RD,CARROLLTON,AL,35447,33.252985,-88.090004,,246,2053678144,private
00002289,PIKE LIBERAL ARTS SCHOOL,PO BOX 329,TROY,AL,36081,31.782430,-85.942194,,448,3345662023,private
00002358,SOUTHERN ACADEMY,407 COLLEGE ST,GREENSBORO,AL,36744,32.699108,-87.584021,,283,3346248111,private
00002405,SPRINGWOOD SCHOOL,PO BOX 1030,LANETT,AL,36863,32.876556,-85.208828,,214,3346442191,private
00002507,TRINITY CHRISTIAN ACADEMY,1500 AIRPORT RD,OXFORD,AL,36203,33.589490,-85.872751,,158,2568313333,private
00002518,VICTORY CHRISTIAN ACADEMY,PO BOX 1090,MILLBROOK,AL,36054,32.509911,-86.382727,,180,3342850211,private
00002551,GOVERNMENT STREET CHRISTIAN SCHOOL,3401 GOVERNMENT BLVD,MOBILE,AL,36693,30.649093,-88.122963,,100,2516607444,private
00002722,AUTAUGA ACADEMY,497 GOLSON RD,PRATTVILLE,AL,36067,32.472090,-86.541877,,217,3343654343,private
00002788,ALABAMA CHRISTIAN ACADEMY,4700 WARES FERRY RD,MONTGOMERY,AL,36109,32.389300,-86.215961,,615,3342771985,private
00002799,WESLEYAN CHRISTIAN ACADEMY,21276 US HIGHWAY 45,CITRONELLE,AL,36522,31.134890,-88.250441,,15,2518667501,private
00003001,LEE-SCOTT ACADEMY,1601 ACADEMY DR,AUBURN,AL,36830,32.637749,-85.450209,,698,3348212430,private
00003216,EPHESUS ACADEMY,829 MCMILLON AVE SW,BIRMINGHAM,AL,35211,33.494760,-86.844451,,71,2057862194,private
00003271,BIG COVE CHRISTIAN ACADEMY,6354 HWY 431 S,OWENS CROSS ROADS,AL,35763,34.668240,-86.490641,,33,2565189642,private
00023629,"MONROE JR, SR HIGH SCHOOLS OF FAIRBANKS",615 MONROE ST,FAIRBANKS,AK,99701,64.851282,-147.716190,,328,9073133062,private
00023935,AMAZING GRACE ACADEMY,PO BOX 3229,PALMER,AK,99645,61.572570,-149.144651,,86,9077452691,private
00030873,LOURDES CATHOLIC SCHOOL,555 E PATAGONIA HWY,NOGALES,AZ,85621,31.356840,-110.919231,,249,5202875659,private
00030909,KINO LEARNING CENTER,6625 N 1ST AVE,TUCSON,AZ,85718,32.326940,-110.962261,PK-PK,38,5202977278,private
00030942,SALPOINTE CATHOLIC HIGH SCHOOL,1545 E COPPER ST,TUCSON,AZ,85719,32.254140,-110.949181,,1253,5205474467,private
00031265,XAVIER COLLEGE PREPARATORY,4710 N 5TH ST,PHOENIX,AZ,85012,33.505110,-112.067531,,1122,6022773772,private
00031301,ST MARY'S CATHOLIC HIGH SCHOOL,2525 N 3RD ST,PHOENIX,AZ,85004,33.475290,-112.068301,,487,6022512503,private
00031414,BROPHY COLLEGE PREPARATORY,4701 N CENTRAL AVE,PHOENIX,AZ,85012,33.504690,-112.071421,,1407,6022645291,private
00031425,BOURGADE CATHOLIC HIGH SCHOOL,4602 N 31ST AVE,PHOENIX,AZ,85017,33.504730,-112.127761,,345,6029734000,private
00031491,SETON CATHOLIC PREPARATORY HIGH SCHOOL,1150 N DOBSON RD,CHANDLER,AZ,85224,33.323260,-111.878671,,544,4809631900,private
00031651,NATIVE AMERICAN CHRISTIAN ACADEMY,PO BOX 4013,SUN VALLEY,AZ,86029,34.971295,-110.061545,,33,9285246211,private
00031695,PARADISE VALLEY CHRISTIAN PREPARATORY,11875 N 24TH ST,PHOENIX,AZ,85028,33.595380,-112.029371,,285,6025098583,private
00031731,PHOENIX CHRISTIAN PREPARATORY SCHOOL,1751 W INDIAN SCHOOL RD,PHOENIX,AZ,85015,33.494060,-112.096651,,458,6022654707,private
00031811,NEW WAY ACADEMY,5048 E OAK ST,PHOENIX,AZ,85008,33.473200,-111.972591,,259,6023898600,private
00032156,VERDE VALLEY SCHOOL,3511 VERDE VALLEY SCHOOL RD,SEDONA,AZ,86351,34.806190,-111.803751,,115,9282842272,private
00032269,GOMPERS PRIVATE SCHOOL,6601 N 27TH AVE,PHOENIX,AZ,85017,33.533640,-112.115991,,10,6023360061,private
00032677,SCOTTSDALE CHRISTIAN ACADEMY,14400 N TATUM BLVD,PHOENIX,AZ,85032,33.617370,-111.979051,,864,6029925100,private
00032859,TRI-CITY CHRISTIAN ACADEMY,2211 W GERMANN RD,CHANDLER,AZ,85286,33.274440,-111.879691,,235,4802457902,private
00032961,ST MICHAELS ASSOC FOR SP ED,PO BOX 100,SAINT MICHAELS,AZ,86511,35.675903,-109.075030,,14,9288712810,private
00033218,HOLBROOK SEVENTH-DAY ADVENTIST INDIAN SCHOOL,2001 MCLAWS RD,HOLBROOK,AZ,86025,34.883100,-110.192311,,61,9285246845,private
00033331,THUNDERBIRD ADVENTIST ACADEMY,7410 E SUTTON DR,SCOTTSDALE,AZ,85260,33.608909,-111.920910,,126,4809483300,private
00047708,SUBIACO ACADEMY,405 N SUBIACO AVE,SUBIACO,AR,72865,35.298800,-93.633241,,134,4799341000,private
00047854,CATHOLIC HIGH SCHOOL FOR BOYS,6300 FATHER TRIBOU ST,LITTLE ROCK,AR,72205,34.756890,-92.343311,,714,5016643939,private
00047978,MT ST MARY ACADEMY,3224 KAVANAUGH BLVD,LITTLE ROCK,AR,72205,34.760760,-92.329911,,446,5016648006,private
00048202,RIVERVIEW BAPTIST CHRISTIAN SCHOOL,123 RIVERVIEW RD,MORRILTON,AR,72110,35.117474,-92.785135,,6,5013540327,private
00048257,CALVARY CHRISTIAN SCHOOL,1611 N WASHINGTON ST,FORREST CITY,AR,72335,35.024860,-90.789225,,45,8706335333,private
00048315,DESOTO SCHOOL,PO BOX 2807,WEST HELENA,AR,72390,34.561193,-90.639533,,189,8705726717,private
00048337,CROWLEY'S RIDGE ACADEMY,606 ACADEMY DR,PARAGOULD,AR,72450,36.057980,-90.558891,,253,8702366908,private
00048359,HARDING ACADEMY,HU BOX 10775,SEARCY,AR,72149,35.245279,-91.718962,,554,5012797202,private
00048847,LITTLE ROCK ADVENTIST ACADEMY,8708 N RODNEY PARHAM RD,LITTLE ROCK,AR,72205,34.757800,-92.370961,,22,5012256183,private
00048971,OZARK ADVENTIST ACADEMY,20997 DAWN HILL E RD,GENTRY,AR,72734,36.237570,-94.499258,,124,4797362221,private
00069958,ALVERNO HEIGHTS ACADEMY,200 N MICHILLINDA AVE,SIERRA MADRE,CA,91024,34.165470,-118.066941,,350,6263553463,private
00069991,ST MONICA CATHOLIC HIGH SCHOOL,1030 LINCOLN BLVD,SANTA MONICA,CA,90403,34.023960,-118.497461,,371,3103943701,private
00070012,BISHOP GARCIA DIEGO HIGH SCHOOL,4000 LA COLINA RD,SANTA BARBARA,CA,93110,34.445130,-119.757571,,263,8059671266,private
00070103,ST GENEVIEVE HIGH SCHOOL,13967 ROSCOE BLVD,PANORAMA CITY,CA,91402,34.221934,-118.438030,,982,8188946417,private
00070125,ST JOSEPH HIGH SCHOOL,4120 S BRADLEY RD,SANTA MARIA,CA,93455,34.882110,-120.416291,,488,8059372038,private
00070147,ST PAUL HIGH SCHOOL,9635 GREENLEAF AVE,SANTA FE SPRINGS,CA,90670,33.951160,-118.053531,,434,5626986246,private
00070191,NOTRE DAME ACADEMY GIRLS HIGH SCHOOL,2851 OVERLAND AVE,LOS ANGELES,CA,90064,34.034355,-118.419564,,271,3108395289,private
00070293,SACRED HEART HIGH SCHOOL,2111 GRIFFIN AVE,LOS ANGELES,CA,90031,34.069800,-118.212301,,279,3232252209,private
00070577,CRESPI CARMELITE HIGH SCHOOL,5031 ALONZO AVE,ENCINO,CA,91316,34.161750,-118.521591,,458,8183451672,private
00070602,ST ANTHONY HIGH SCHOOL,620 OLIVE AVE,LONG BEACH,CA,90802,33.774553,-118.182108,,433,5624354496,private
00070624,PARACLETE HIGH SCHOOL,42145 N 30TH ST W,LANCASTER,CA,93536,34.648160,-118.184931,,548,6619433255,private
00070635,HOLY FAMILY HIGH SCHOOL,400 E LOMITA AVE,GLENDALE,CA,91205,34.140420,-118.251991,,82,8182413178,private
00070861,ST MARY'S ACADEMY,701 GRACE AVE,INGLEWOOD,CA,90301,33.969070,-118.345421,,232,3106748470,private
00070974,ST FRANCIS HIGH SCHOOL,200 FOOTHILL BLVD,LA CANADA FLINTRIDGE,CA,91011,34.195090,-118.181791,,620,8187900325,private
00070985,ST LUCYS PRIORY HIGH SCHOOL,655 W SIERRA MADRE AVE,GLENDORA,CA,91741,34.148159,-117.876949,,325,6263353322,private
00071005,DON BOSCO TECHNICAL INSTITUTE,1151 SAN GABRIEL BLVD,ROSEMEAD,CA,91770,34.040670,-118.087161,,317,6269402000,private
00071027,MAYFIELD SENIOR SCHOOL,500 BELLEFONTAINE ST,PASADENA,CA,91105,34.130450,-118.162101,,329,6267999121,private
00071093,ST JOSEPH HIGH SCHOOL,5825 WOODRUFF AVE,LAKEWOOD,CA,90713,33.861450,-118.118081,,461,5629255073,private
00071107,LOUISVILLE HIGH SCHOOL,22300 MULHOLLAND DR,WOODLAND HILLS,CA,91364,34.148900,-118.609851,,292,8183468812,private
00071129,ST BONAVENTURE HIGH SCHOOL,3167 TELEGRAPH RD,VENTURA,CA,93003,34.273140,-119.253971,,378,8056486836,private
00071151,ST BERNARD HIGH SCHOOL,9100 FALMOUTH AVE,PLAYA DEL REY,CA,90293,33.953490,-118.433041,,165,3108234651,private
00071242,MARY STAR OF THE SEA HIGH SCHOOL,2500 N TAPER AVE,SAN PEDRO,CA,90731,33.766917,-118.302099,,406,3105471138,private
00071399,BISHOP AMAT MEMORIAL HIGH SCHOOL,14301 FAIRGROVE AVE,LA PUENTE,CA,91746,34.053810,-117.964741,,1019,6269622495,private
00071424,CHAMINADE COLLEGE PREPARATORY-HIGH SCHOOL,7500 CHAMINADE AVE,WEST HILLS,CA,91304,34.207660,-118.635761,,1206,8183478300,private
00071457,LA SALLE COLLEGE PREPARATORY,3880 E SIERRA MADRE BLVD,PASADENA,CA,91107,34.160970,-118.069961,,611,6266964309,private
00071468,CANTWELL SACRED HEART OF MARY,329 N GARFIELD AVE,MONTEBELLO,CA,90640,34.017170,-118.130001,,342,3238872066,private
00071559,PROVIDENCE HIGH SCHOOL,511 S BUENA VISTA ST,BURBANK,CA,91505,34.154420,-118.326731,,497,8188468141,private
00071592,VILLANOVA PREPARATORY SCHOOL,12096 N VENTURA AVE,OJAI,CA,93023,34.429350,-119.263631,,188,8056461464,private
00071639,DAMIEN HIGH SCHOOL,2280 DAMIEN AVE,LA VERNE,CA,91750,34.104290,-117.787451,,735,9095961946,private
00071672,ST PIUS-ST. MATTHIAS ACADEMY,7851 GARDENDALE ST,DOWNY,CA,90242,33.919197,-118.160147,,451,5628612271,private
00071683,JUNIPERO SERRA HIGH SCHOOL,14830 VAN NESS AVE,GARDENA,CA,90249,33.895900,-118.316681,,345,3103246675,private
00071821,SAN GABRIEL MISSION HIGH SCHOOL,254 S SANTA ANITA ST,SAN GABRIEL,CA,91776,34.098920,-118.107105,,134,6262823181,private
00071854,FLINTRIDGE SACRED HEART ACADEMY,440 SAINT KATHERINE DR,LA CANADA FLINTRIDGE,CA,91011,34.180380,-118.183031,,365,6266858300,private
00071912,MARYMOUNT HIGH SCHOOL LOS ANGELES,10643 W SUNSET BLVD,LOS ANGELES,CA,90077,34.075430,-118.445271,,310,3104721205,private
00072086,VERBUM DEI HIGH SCHOOL,11100 S CENTRAL AVE,LOS ANGELES,CA,90059,33.934570,-118.252501,,319,3235646651,private
00072315,WOODSIDE PRIORY SCHOOL,302 PORTOLA RD,PORTOLA VALLEY,CA,94028,37.375900,-122.213111,,411,6508518221,private
00072483,ICA CRISTO REY,"ICA CRISTO REY, 3625 24TH ST",SAN FRANCISCO,CA,94110,37.751800,-122.423471,,336,4158242052,private
00072596,ARCHBISHOP RIORDAN HIGH SCHOOL,175 FRIDA KAHLO WAY,SAN FRANCISCO,CA,94112,37.728149,-122.452783,,976,4157316700,private
00072767,ST IGNATIUS COLLEGE PREPARATORY,2001 37TH AVE,SAN FRANCISCO,CA,94116,37.748062,-122.495913,,1589,4157317500,private
00073148,JUNIPERO SERRA HIGH SCHOOL,451 W 20TH AVE,SAN MATEO,CA,94403,37.545540,-122.317151,,860,6503458207,private
00073374,MARIN CATHOLIC HIGH SCHOOL,675 SIR FRANCIS DRAKE BLVD,KENTFIELD,CA,94904,37.950750,-122.536891,,768,4154643860,private
00073498,MERCY HIGH SCHOOL,2750 ADELINE DR,BURLINGAME,CA,94010,37.582670,-122.382661,,384,6507621101,private
00073771,SACRED HEART SCHOOLS ATHERTON,150 VALPARAISO AVE,ATHERTON,CA,94027,37.449420,-122.195961,,1118,6504734057,private
00073942,SAN JOAQUIN MEMORIAL HIGH SCHOOL,1406 N FRESNO ST,FRESNO,CA,93703,36.762639,-119.781190,,503,5592689251,private
00074265,MISSION COLLEGE PREP HIGH SCHOOL,682 PALM ST,SAN LUIS OBISPO,CA,93401,35.280670,-120.666541,,273,8055432131,private
00074276,NOTRE DAME HIGH SCHOOL,455 PALMA DR,SALINAS,CA,93901,36.664280,-121.668681,,177,8317511850,private
00074356,PALMA SCHOOL,919 IVERSON ST,SALINAS,CA,93901,36.664520,-121.664711,,457,8314221903,private
00074695,SALESIAN HIGH SCHOOL,2851 SALESIAN AVE,RICHMOND,CA,94804,37.952890,-122.339131,,386,5102344433,private
00074822,HOLY NAMES HIGH SCHOOL,4660 HARBORD DR,OAKLAND,CA,94618,37.839410,-122.231041,,142,5104501110,private
00074833,BISHOP ODOWD HIGH SCHOOL,9500 STEARNS AVE,OAKLAND,CA,94605,37.753510,-122.156331,,1248,5105779100,private
00074866,MOREAU CATHOLIC HIGH SCHOOL,27170 MISSION BLVD,HAYWARD,CA,94544,37.644420,-122.060091,,784,5108814300,private
00074902,DE LA SALLE HIGH SCHOOL,1130 WINTON DR,CONCORD,CA,94518,37.934245,-122.031662,,1028,9252888124,private
00074913,CARONDELET HIGH SCHOOL,1133 WINTON DR,CONCORD,CA,94518,37.933180,-122.033481,,819,9256865353,private
00075484,ROSARY ACADEMY,1340 N ACACIA AVE,FULLERTON,CA,92831,33.884490,-117.897331,,465,7148796302,private
00075859,JESUIT HIGH SCHOOL,1200 JACOB LN,CARMICHAEL,CA,95608,38.586553,-121.351156,,976,9164826060,private
00075906,ST FRANCIS CATHOLIC HIGH SCHOOL,5900 ELVAS AVE,SACRAMENTO,CA,95819,38.559850,-121.431041,,964,9164523461,private
00076149,CHRISTIAN BROTHERS HIGH SCHOOL,4315 MARTIN LUTHER KING JR BLVD,SACRAMENTO,CA,95820,38.535800,-121.462341,,1127,9167333600,private
00076262,ST PATRICK-ST VINCENT HIGH SCHOOL,1500 BENICIA RD,VALLEJO,CA,94591,38.086735,-122.201990,,331,7076444425,private
00076706,AQUINAS HIGH SCHOOL,2772 STERLING AVE,SAN BERNARDINO,CA,92404,34.141580,-117.244339,,554,9098864659,private
00076954,ST AUGUSTINE HIGH SCHOOL,3266 NUTMEG ST,SAN DIEGO,CA,92104,32.734720,-117.124071,,743,6192822184,private
00076987,VINCENT MEMORIAL CATHOLIC HIGH SCHOOL,525 SHERIDAN ST,CALEXICO,CA,92231,32.677690,-115.506421,,306,7603573461,private
00077164,ACADEMY OF OUR LADY OF PEACE,4860 OREGON ST,SAN DIEGO,CA,92116,32.765300,-117.135661,,750,6192972266,private
00077539,JUSTIN-SIENA,4026 MAHER ST,NAPA,CA,94558,38.330640,-122.321781,,601,7072550950,private
00077572,ST BERNARD'S ACADEMY,222 DOLLISON ST,EUREKA,CA,95501,40.783610,-124.168001,,232,7074432735,private
00077663,ARCHBISHOP HANNA HIGH SCHOOL,17000 ARNOLD DR,SONOMA,CA,95476,38.320180,-122.507721,,39,7079332560,private
00077721,CARDINAL NEWMAN HIGH SCHOOL,4320 OLD REDWOOD HWY,SANTA ROSA,CA,95403,38.493311,-122.741450,,512,7075466470,private
00077732,ST VINCENT DE PAUL HIGH SCHOOL,849 KEOKUK ST,PETALUMA,CA,94952,38.243570,-122.650551,,168,7077631032,private
00077798,CENTRAL CATHOLIC HIGH SCHOOL,200 S CARPENTER RD,MODESTO,CA,95351,37.635910,-121.028821,,379,2095249611,private
00077867,ST MARY'S HIGH SCHOOL,PO BOX 7247,STOCKTON,CA,95267,38.004530,-121.304411,,785,2099547871,private
00078419,THE BISHOP'S SCHOOL,7607 LA JOLLA BLVD,LA JOLLA,CA,92037,32.840707,-117.278393,,805,8584594021,private
00078714,HEBREW ACADEMY,14401 WILLOW LN,HUNTINGTON BEACH,CA,92647,33.752750,-118.019431,,204,7148980051,private
00078736,AGBU MANOOGIAN-DEMIRDJIAN SCHOOL,6844 OAKDALE AVE,CANOGA PARK,CA,91306,34.194800,-118.565741,,791,8188832428,private
00078747,SWITZER LEARNING CENTER,2201 AMAPOLA CT,TORRANCE,CA,90501,33.844820,-118.322281,,62,3103283611,private
00078838,SIERRA SCHOOL OF SAN DIEGO,6460 BOULDER LAKE AVE,SAN DIEGO,CA,92119,32.798704,-117.018517,,72,6194605090,private
00079296,PATTEN ACADEMY OF CHRISTIAN EDUCATION,2430 COOLIDGE AVE,OAKLAND,CA,94601,37.785868,-122.219624,,108,5104857689,private
00079387,SPEECH & LANGUAGE DEVELOPMENT CENTER,8699 HOLDER ST,BUENA PARK,CA,90620,33.836900,-118.020841,,155,7148213620,private
00079398,THE BUCKLEY SCHOOL,3900 STANSBURY AVE,SHERMAN OAKS,CA,91423,34.140685,-118.443417,,830,8187831610,private
00079707,WESTVIEW SCHOOL,12101 W WASHINGTON BLVD,LOS ANGELES,CA,90066,33.997860,-118.424871,,37,3107511117,private
00079729,DUBNOFF CENTER FOR CHILD DEVELOPMENT,15314 RAYEN ST,NORTH HILLS,CA,91343,34.231649,-118.466173,,47,8188939750,private
00079751,MARDAN SCHOOL,1 OSBORN ST,IRVINE,CA,92604,33.674734,-117.791575,,63,9497331500,private
00079864,SOUTH HILLS ACADEMY,1600 E FRANCISQUITO AVE,WEST COVINA,CA,91791,34.049290,-117.912001,,297,6269192000,private
00080166,ARMENIAN MESROBIAN SCHOOL,8420 BEVERLY RD,PICO RIVERA,CA,90660,34.010910,-118.090341,,238,5626992057,private
00080359,LUTHERAN HIGH SCHOOL,3960 FRUIT ST,LA VERNE,CA,91750,34.115310,-117.760431,,65,9095934494,private
00080406,ORANGE LUTHERAN HIGH SCHOOL,2222 N SANTIAGO BLVD,ORANGE,CA,92867,33.825310,-117.829621,,1394,7149985151,private
00080461,YORK SCHOOL,9501 YORK RD,MONTEREY,CA,93940,36.575077,-121.804903,,181,8323727238,private
00080869,STEVENSON SCHOOL - PEBBLE BEACH CAMPUS,3152 FOREST LAKE RD,PEBBLE BEACH,CA,93953,36.582840,-121.950891,,773,8316258307,private
00080905,SACRAMENTO COUNTRY DAY SCHOOL,2636 LATHAM DR,SACRAMENTO,CA,95864,38.569220,-121.400221,,521,8018331260,private
00080916,MENLO SCHOOL,50 VALPARAISO AVE,ATHERTON,CA,94027,37.454940,-122.192391,,818,6503302001,private
00080949,CATE SCHOOL,PO BOX 5005,CARPINTERIA,CA,93014,34.405027,-119.477321,,299,8056844127,private
00080982,ARMY & NAVY ACADEMY,2605 CARLSBAD BLVD,CARLSBAD,CA,92008,33.162935,-117.354675,,192,7605475199,private
00081057,WILDWOOD SCHOOL K-12,11811 W OLYMPIC BLVD,LOS ANGELES,CA,90064,34.033500,-118.451151,,739,3014426300,private
00081294,BAIS YAAKOV SCHOOL FOR GIRLS,7353 BEVERLY BLVD,LOS ANGELES,CA,90036,34.076420,-118.350171,,228,3239383231,private
00081341,LE LYCEE FRANCAIS DE LOS ANGELES,3261 OVERLAND AVE,LOS ANGELES,CA,90034,34.027450,-118.415401,,663,3108363464,private
00081443,BEREAN CHRISTIAN HIGH SCHOOL,245 EL DIVISADERO AVE,WALNUT CREEK,CA,94598,37.913380,-122.031891,,417,9259456464,private
00081512,VICTOR VALLEY CHRISTIAN SCHOOLS,15260 NISQUALLI RD,VICTORVILLE,CA,92395,34.487140,-117.331051,,219,7602418827,private
00081895,VIEWPOINT SCHOOL,23620 MULHOLLAND HWY,CALABASAS,CA,91302,34.135640,-118.642891,,1118,8185916580,private
00081953,VALLEY TORAH HIGH SCHOOL,12517 CHANDLER BLVD,VALLEY VILLAGE,CA,91607,34.169090,-118.405971,,231,8185057999,private
00081997,OJAI VALLEY SCHOOL,723 EL PASEO RD,OJAI,CA,93023,34.444030,-119.257281,,271,8056402575,private
00082006,PALM VALLEY SCHOOL,35525 DA VALL DR,RANCHO MIRAGE,CA,92270,33.791500,-116.442941,,241,7603280861,private
00082061,FREMONT CHRISTIAN SCHOOL,4760 THORNTON AVE,FREMONT,CA,94536,37.550370,-122.017881,,457,5107442267,private
00082141,SACRAMENTO WALDORF SCHOOL,3750 BANNISTER RD,FAIR OAKS,CA,95628,38.632000,-121.287286,,451,9168602507,private
00082957,RIPON CHRISTIAN SCHOOLS,435 MAPLE AVE,RIPON,CA,95366,37.742900,-121.132231,,801,2095992155,private
00083065,MONTE VISTA CHRISTIAN SCHOOL,2 SCHOOL WAY,WATSONVILLE,CA,95076,36.982920,-121.766691,,711,8317228178,private
00083145,SAN FRANCISCO CHRISTIAN SCHOOL,25 WHITTIER ST,SAN FRANCISCO,CA,94112,37.710040,-122.447751,,258,4155861117,private
00083167,PILGRIM SCHOOL,540 S COMMONWEALTH AVE,LOS ANGELES,CA,90020,34.063890,-118.285241,,328,2133555273,private
00083418,MARLBOROUGH SCHOOL,250 S ROSSMORE AVE,LOS ANGELES,CA,90004,34.069909,-118.326837,,560,3239648423,private
00083429,HEAD ROYCE SCHOOL,4315 LINCOLN AVE,OAKLAND,CA,94602,37.808670,-122.205071,,900,5102281592,private
00083462,LA JOLLA COUNTRY DAY SCHOOL,9490 GENESEE AVE,LA JOLLA,CA,92037,32.878860,-117.216581,,1082,8584533440,private
00083473,MARIN ACADEMY,1600 MISSION AVE,SAN RAFAEL,CA,94901,37.976160,-122.535221,,447,4154823203,private
00083484,THE WEBB SCHOOLS,1175 W BASELINE RD,CLAREMONT,CA,91711,34.124257,-117.740022,,401,9099713506,private
00083509,SAN FRANCISCO UNIVERSITY HIGH SCHOOL,3065 JACKSON ST,SAN FRANCISCO,CA,94115,37.790660,-122.445351,,436,4154473100,private
00083531,WESTRIDGE SCHOOL FOR GIRLS,324 MADELINE DR,PASADENA,CA,91105,34.127410,-118.157741,,539,6269932256,private
00083542,CASTILLEJA SCHOOL,1310 BRYANT ST,PALO ALTO,CA,94301,37.439490,-122.151701,,422,6504707702,private
00083564,MIDLAND SCHOOL CORPORATION,PO BOX 8,LOS OLIVOS,CA,93441,34.731834,-120.087368,,79,8056885114,private
00083597,THE COLLEGE PREPARATORY SCHOOL,6100 BROADWAY,OAKLAND,CA,94618,37.848691,-122.239862,,373,5106520111,private
00083611,THE ATHENIAN SCHOOL,2100 MOUNT DIABLO SCENIC BLVD,DANVILLE,CA,94506,37.834630,-121.948001,,536,9253627208,private
