ncessId,name,address,city,state,zip,latitude,longitude,gradeRange,enrollment,phone,type
010054000708,Calhoun County Career Technical Center,1200 Church St SE,Jacksonville,AL,36265,33.801672,-85.757907,10-12,0,(256)741-4600,public
010054001488,Pleasant Valley High School,4141 Pleasant Valley Rd,Jacksonville,AL,36265,33.885484,-85.816324,7-12,422,(256)741-6700,public
010054001489,Wellborn High School,135 Pinson Rd,Anniston,AL,36201,33.6525,-85.882,7-12,491,(256)741-7603,public
010060000263,Lafayette High School,214 1st Ave SE,Lafayette,AL,36862,32.8994,-85.3965,9-12,208,(334)864-9881,public
010060000271,Valley High School,501 Highway 29,Valley,AL,36854,32.8022,-85.1815,9-12,642,(334)756-4105,public
010060000738,Inspire Academy,Area Vocational Center Dr,Lafayette,AL,36862,32.890312,-85.381482,9-12,0,(334)864-8863,public
010060002515,Inspire Virtual Academy,318 AVC Drive,LaFayette,AL,36862,32.890312,-85.381482,6-12,62,(334)864-8863,public
010063000274,Cedar Bluff High School,3655 Old Highway 9,Cedar Bluff,AL,35959,34.2198,-85.6045,PK-12,607,(256)927-1750,public
010063000278,Cherokee County High School,910 Warrior Dr,Centre,AL,35960,34.1638,-85.6587,9-12,465,(256)927-3625,public
010063000279,Gaylesville High School,760 Trojan Way,Gaylesville,AL,35973,34.2711,-85.56,PK-12,376,(256)422-3401,public
010063000282,Sand Rock High School,1950 Sand Rock Avenue,Sand Rock,AL,35983,34.241,-85.7674,PK-12,773,(256)557-3825,public
010063000283,Spring Garden High School,2430 County Road 29,Spring Garden,AL,36275,33.985365,-85.542865,PK-12,561,(256)447-7045,public
010066000261,Isabella High School,11338 County Road 15,Maplesville,AL,36750,32.8287,-86.7856,PK-12,771,(205)280-2770,public
010066000262,Jemison High School,25195 US Highway 31,Jemison,AL,35085,32.9655,-86.7483,9-12,686,(205)280-4860,public
010066000265,Maplesville High School,1256 AL Highway 139,Maplesville,AL,36750,32.8031,-86.8784,PK-12,536,(205)280-4904,public
010066000270,Thorsby High School,54 Opportunity Dr,Thorsby,AL,35171,32.9136,-86.7163,PK-12,771,(205)280-4880,public
010066000288,Verbena High School,202 County Road 510,Verbena,AL,36091,32.749,-86.5088,PK-12,592,(205)280-2820,public
010066000748,W A Lecroy Career  Technical Center,2829 4th Ave N,Clanton,AL,35045,32.8321,-86.6736,9-12,0,(205)280-2920,public
010066001491,Chilton County High School,1214 7th St S,Clanton,AL,35045,32.8219,-86.6127,9-12,783,(205)280-2710,public
010069000291,Choctaw County High School,277 Tom Orr Drive,Butler,AL,36904,32.0798,-88.2332,7-12,248,(205)459-2139,public
010069000297,Southern Choctaw High School,10941 Highway 17,Gilbertown,AL,36908,31.8429,-88.3193,7-12,237,(251)843-5645,public
010072000298,Clarke County High School,151 S Church,Grove Hill,AL,36451,31.705821,-87.77412,9-12,265,(251)250-2107,public
010072001493,Jackson High School,321 Stanley Dr,Jackson,AL,36545,31.5482,-87.8851,9-12,439,(251)246-2571,public
010075002210,Central High School of Clay County,1 Bob Riley Drive,Lineville,AL,36266,33.290823,-85.787937,9-12,524,(256)396-1400,public
010078000318,Cleburne County High School,520 Evans Bridge Rd,Heflin,AL,36264,33.648138,-85.571924,8-12,570,(256)463-2012,public
010078000321,Ranburne High School,21045 Main St,Ranburne,AL,36273,33.523373,-85.346519,5-12,528,(256)568-3402,public
010078000768,Cleburne County Career Technical School,11200 Highway 46,Heflin,AL,36264,33.597278,-85.482177,7-12,0,(256)748-2961,public
010081000323,Kinston School,201 College Street,Kinston,AL,36453,31.221294,-86.169864,PK-12,528,(334)565-3016,public
010081000327,Zion Chapel High School,29256 Highway 87,Jack,AL,36346,31.566525,-86.010259,PK-12,868,(334)897-6275,public
010081001494,New Brockton High School,210 South Tyler Street,New Brockton,AL,36351,31.380382,-85.935457,9-12,381,(334)894-2350,public
010084000333,Cherokee High School,850 High School Dr,Cherokee,AL,35616,34.7657,-87.9633,7-12,221,(256)359-4434,public
010084000334,Colbert County High School,2200 High School St,Leighton,AL,35646,34.6955,-87.5244,7-12,455,(256)446-8214,public
010084000335,Colbert Heights High School,6825 Woodmont Dr,Tuscumbia,AL,35674,34.669434,-87.700833,7-12,484,(256)383-7875,public
010087001766,Hillcrest High School,1989 Jaguar Rd,Evergreen,AL,36401,31.431297,-86.937172,9-12,299,(251)578-1126,public
010087002442,Genesis Innovative School,1989 Jaguar Drive,Evergreen,AL,36401,31.431297,-86.937172,K-12,340,(251)578-5291,public
010087002519,Conecuh County Area Vocational Center,1979 Jaguar Dr,Evergreen,AL,36401,31.433284,-86.94062,9-12,0,(251)578-1752,public
010090001749,Central High School,97 Coosa County Road 75,Rockford,AL,35136,33.006452,-86.201187,7-12,362,(256)377-4384,public
010093000360,Florala High School,22114 Begonia St,Florala,AL,36442,31.0028,-86.3368,7-12,218,(334)858-3765,public
010093000361,Pleasant Home School,12548 Falco Road,Andalusia,AL,36420,31.1584,-86.6128,PK-12,498,(334)222-1315,public
010093000363,Straughn High School,29448 Straughn School Road,Andalusia,AL,36421,31.3906,-86.4157,9-12,383,(334)222-2511,public
010093002167,Red Level School,28551 Barrow Road,Red Level,AL,36474,31.40273,-86.61282,PK-12,488,(334)469-5315,public
010096000365,Brantley High School,8879 N Main St,Brantley,AL,36009,31.590445,-86.255144,PK-12,556,(334)527-8879,public
010096000367,Highland Home School,1434 Montgomery Hwy,Highland Home,AL,36041,31.953,-86.3135,PK-12,839,(334)441-3424,public
010096000368,Luverne High School,194 First Ave,Luverne,AL,36049,31.7132,-86.2754,PK-12,845,(334)335-3331,public
010096000801,Crenshaw County Career Academy,183 Votec Dr,Luverne,AL,36049,31.7051,-86.2677,7-12,0,(334)335-6519,public
010099000370,Cullman High School,510 13th St NE,Cullman,AL,35055,34.1885,-86.8418,9-12,997,(256)734-3923,public
010099001323,Cullman City Career Tech,301 First Street NE,Cullman,AL,35055,34.1792,-86.8405,7-12,0,(256)734-2233,public
010102000374,Cold Springs High School,9010 County Road 109,Bremen,AL,35033,33.982384,-87.032348,9-12,238,(256)287-1787,public
010102000377,Fairview High School,841 Welcome Rd,Cullman,AL,35058,34.255046,-86.687902,9-12,501,(256)796-5106,public
010102000379,Good Hope High School,210 Good Hope School Rd,Cullman,AL,35057,34.1035,-86.8797,9-12,443,(256)734-3807,public
010102000380,Hanceville High School,801 Commercial St,Hanceville,AL,35077,34.0612,-86.7608,9-12,366,(256)352-6111,public
010102000381,Holly Pond High School,160 New Hope Road,Holly Pond,AL,35083,34.1769,-86.619,9-12,278,(256)796-5169,public
010102000385,Vinemont High School,165 High School Road,Vinemont,AL,35179,34.244071,-86.864278,9-12,362,(256)734-0571,public
010102000387,West Point High School,4314 County Road 1141,Cullman,AL,35057,34.2373,-86.9633,9-12,606,(256)734-5375,public
010102000803,Cullman Area Technology Academy,17640 U S Hwy 31 N,Cullman,AL,35058,34.2227,-86.8569,9-12,0,(256)734-7740,public
010105000388,Ariton School,264 Creel Richardson Drive,Ariton,AL,36311,31.602171,-85.721035,PK-12,863,(334)762-2371,public
010105000389,Dale County High School,11470 County Road 59,Midland City,AL,36350,31.320654,-85.504214,9-12,417,(334)983-3541,public
010105000390,George W Long High School,2565 Co Rd 60,Skipperville,AL,36374,31.559,-85.5509,7-12,368,(334)774-2380,public
010105002546,Bridge Academy,3971 S Hwy 231,Ozark,AL,36360,31.425051,-85.616218,9-12,0,(334)774-2355,public
010108000394,Daleville High School,626 N Daleville Ave,Daleville,AL,36322,31.316204,-85.709728,9-12,294,(334)598-4461,public
010111000397,Dallas County High School,335 5th Ave,Plantersville,AL,36758,32.661814,-86.929631,9-12,381,(334)366-2232,public
010111000402,Keith MiddleHigh School,1166 Dallas Road 115,Orrville,AL,36767,32.292538,-87.235715,6-12,217,(334)875-4155,public
010111000406,Southside High School,7975 US Highway 80 E,Selma,AL,36701,32.327267,-86.928401,9-12,296,(334)872-0518,public
010111000818,Dallas County Career Technical Center,1306 Roosevelt Ave,Selma,AL,36701,32.372036,-87.016634,7-12,0,(334)267-0788,public
010114000411,Collinsville High School,802 S Valley Ave,Collinsville,AL,35961,34.254667,-85.868708,PK-12,920,(256)524-2111,public
010114000415,Fyffe High School,153 Church St,Fyffe,AL,35971,34.449581,-85.90418,PK-12,937,(256)623-2116,public
010114000416,Geraldine School,13011 Highway 227,Geraldine,AL,35974,34.351037,-86.003186,PK-12,1150,(256)659-2142,public
010114000419,Ider School,1064 Crabapple Ln,Ider,AL,35981,34.712183,-85.675401,PK-12,601,(256)632-2302,public
010114000422,Plainview School,76 Chavies Rd,Rainsville,AL,35986,34.482932,-85.822258,PK-12,1264,(256)638-3510,public
010114000424,Sylvania School,133 2nd Street N,Sylvania,AL,35988,34.564558,-85.814556,PK-12,945,(256)638-2030,public
010114000425,Valley Head High School,235 1st Ave,Valley Head,AL,35989,34.564117,-85.614128,PK-12,486,(256)635-6228,public
010114000832,Dekalb Technical Center,409 Main St E,Rainsville,AL,35986,34.49173,-85.8406,10-12,0,(256)638-4421,public
010114001860,Crossville High School,5405 Co Road 28,Crossville,AL,35962,34.290223,-85.996301,9-12,657,(256)528-7858,public
010117000426,Austin High School,3004 Modaus Road,Decatur,AL,35601,34.563684,-87.049556,10-12,1025,(256)552-3060,public
010117000429,Decatur High School,910 Somerville Road,Decatur,AL,35601,34.593282,-86.97216,9-12,1040,(256)552-3011,public
010117002456,Austin Junior High School,1625 Danville Road SW,Decatur,AL,35601,34.57954,-87.007634,8-9,773,(256)552-3060,public
010117002457,Career Technical Center,1625 Danville Road SW,Decatur,AL,35601,34.57954,-87.007634,9-12,0,(256)552-3060,public
010120000148,Demopolis High School,701 Hwy 80 W,Demopolis,AL,36732,32.494584,-87.845732,9-12,630,(334)289-0294,public
010123001349,Dothan Technology Center,3165 Reeves St,Dothan,AL,36303,31.2665,-85.3811,10-12,0,(334)794-1436,public
010123001501,Dothan High School,3209 Reeves St,Dothan,AL,36303,31.2676,-85.3814,10-12,1454,(334)794-1410,public
010123002512,Dothan City Virtual School,323 W Selma Street,Dothan,AL,36301,31.209408,-85.395181,7-12,229,(334)794-7444,public
010123002513,Carver 9th Grade Academy,1001 Webb Road,Dothan,AL,36303,31.235999,-85.375118,9-9,543,(334)794-1432,public
010126000461,Elba High School,371 Tiger Dr,Elba,AL,36323,31.427146,-86.10309,7-12,252,(334)897-2266,public
010126001354,Elba Area Vocational School,371 Tiger Dr,Elba,AL,36323,31.427146,-86.10309,7-12,0,(334)897-3000,public
010129000463,Elmore County High School,155 N College St,Eclectic,AL,36024,32.6338,-86.0296,9-12,516,(334)541-3661,public
010129000465,Holtville High School,10425 Holtville Rd,Deatsville,AL,36022,32.6356,-86.3261,9-12,554,(334)569-3034,public
010129000468,Stanhope Elmore High School,4300 Main St,Millbrook,AL,36054,32.4942,-86.3624,9-12,1181,(334)285-4263,public
010129000471,Wetumpka High School,1251 Coosa River Pkwy,Wetumpka,AL,36092,32.5525,-86.2225,9-12,1240,(334)567-5158,public
010129000834,Elmore County Technical Center,800 KellyFitzpatrick Dr,Wetumpka,AL,36092,32.5504,-86.2156,10-12,0,(334)567-1218,public
010129002494,EDGE Virtual School,517 Micanopy Street,Weumpka,AL,36092,32.546314,-86.215789,3-12,419,(334)514-3931,public
010132000476,Enterprise High School,1801 Boll Weevil Circle,Enterprise,AL,36330,31.328129,-85.869911,9-12,2117,(334)347-2640,public
010132002455,Enterprise Career and Technology Center,605 West College Street,Enterprise,AL,36330,31.3098,-85.8602,9-12,0,(334)489-4700,public
010135000484,Escambia County High School,1215 S Presley St,Atmore,AL,36502,31.0065,-87.4866,9-12,399,(251)368-9181,public
010135000487,Flomaton High School,21200 Highway 31,Flomaton,AL,36441,31.006,-87.2699,6-12,511,(251)296-2627,public
010135000492,W S Neal High School,801 Andrew Jackson Street,East Brewton,AL,36426,31.09011,-87.05455,9-12,358,(251)867-4225,public
010135000841,EscambiaBrewton Career Technical Center,2824 Pea Ridge Rd,Brewton,AL,36426,31.1133,-87.0958,9-12,0,(251)867-7829,public
010138000496,Gaston High School,4550 US Highway 411,Gadsden,AL,35901,34.068314,-85.92684,7-12,368,(256)547-8828,public
010138000498,Glencoe High School,803 Lonesome Bend Rd,Glencoe,AL,35905,33.9677,-85.9353,9-12,285,(256)492-2250,public
010138000505,Sardis High School,1420 Church St,Sardis City,AL,35956,34.1763,-86.1229,9-12,584,(256)593-5221,public
010138000506,Southside High School,2361 School Drive,Southside,AL,35907,33.920376,-86.033827,9-12,770,(256)442-2172,public
010138000507,West End High School,4515 Elm St,Walnut Grove,AL,35990,34.0638,-86.3025,7-12,370,(256)622-1112,public
010138000853,Career Technical Center,105 Burke Ave SE,Attalla,AL,35954,33.9963,-86.1049,9-12,0,(256)538-3312,public
010138001662,Hokes Bluff High School,1865 Appalachia Rd,Hokes Bluff,AL,35903,34.013,-85.8694,9-12,355,(256)492-1360,public
010141000511,Eufaula High School,530 Lake Dr,Eufaula,AL,36027,31.919296,-85.139098,9-12,717,(334)687-1110,public
010141002439,Alabama Virtual Academy at Eufaula City Schools,831 West Washington Street,Eufaula,AL,36027,31.8876,-85.1577,K-12,3901,(334)689-5059,public
010144000516,Fairfield High Preparatory School,610 Valley Rd,Fairfield,AL,35064,33.491187,-86.908318,9-12,510,(205)785-5176,public
010144001363,Fairfield Area Vocational School,610 Valley Rd,Fairfield,AL,35064,33.491187,-86.908318,10-12,0,(205)783-6850,public
010147000521,Berry High School,18242 Highway 18 E,Berry,AL,35546,33.663,-87.599,7-12,219,(205)689-4467,public
010147000525,Hubbertville School,7360 County Road 49,Fayette,AL,35555,33.8295,-87.7423,PK-12,419,(205)487-2845,public
010147001787,Fayette County High School,202 Tiger Drive,Fayette,AL,35555,33.7031,-87.8218,9-12,387,(205)932-6313,public
010153000528,Florence High School,1201 Bradshaw Dr,Florence,AL,35630,34.8345,-87.6633,10-12,1034,(256)768-2200,public
010153000531,Florence Freshman Center,1203 Bradshaw Drive,Florence,AL,35630,34.835281,-87.662178,9-9,356,(256)768-2400,public
010156000538,Fort Payne High School,201 45th St NE,Fort Payne,AL,35967,34.487696,-85.674157,9-12,1058,(256)845-0535,public
010159000541,Belgreen High School,14220 Highway 187,Russellville,AL,35653,34.4749,-87.8653,PK-12,546,(256)332-1376,public
010159000544,Phil Campbell High School,65 School St,Phil Campbell,AL,35581,34.349411,-87.706847,7-12,448,(256)331-2150,public
010159000545,Red Bay High School,800 8th St,Red Bay,AL,35582,34.4354,-88.1381,7-12,351,(256)331-2270,public
010159000548,Vina High School,8250 County Road 23,Vina,AL,35593,34.378516,-88.056168,PK-12,270,(256)331-2260,public
010159000860,Franklin County Career Technical Center,85 Jail Springs Road,Russellville,AL,35653,34.475756,-87.864784,9-12,0,(256)332-2127,public
010159001869,Tharptown High School,255 Highway 80,Russellville,AL,35654,34.525786,-87.619756,7-12,391,(256)332-6485,public
010162001824,Gadsden City High School,1917 Black Creek Parkway,Gadsden,AL,35904,33.995108,-86.037233,9-12,1318,(256)543-3614,public
010164000567,Geneva High School,505 Panther Dr,Geneva,AL,36340,31.0439,-85.8813,9-12,387,(334)684-9379,public
010166000570,Geneva County High School,301 Lily St,Hartford,AL,36344,31.095832,-85.700153,9-12,241,(334)588-2943,public
010166000571,Samson High School,209 N Broad St,Samson,AL,36477,31.117792,-86.049316,9-12,189,(334)898-2371,public
010166001519,Slocomb High School,Esto Hwy,Slocomb,AL,36375,31.098483,-85.601606,9-12,370,(334)886-2008,public
010166002418,Geneva Regional Career Technical Center,1308 West Maple Avenue,Geneva,AL,36340,31.048206,-85.89415,10-12,0,(334)248-6354,public
010168000576,Greene County High School,14221 Highway 11 South,Eutaw,AL,35462,32.823597,-87.931421,9-12,255,(205)372-2052,public
010168000864,Peter J Kirksey Career Center,836 County Road 131,Eutaw,AL,35462,32.8464,-87.9187,9-12,0,(205)372-9200,public
010168002181,Greene County Career Center,14223 U S Highway 11 South,Eutaw,AL,35462,32.82487,-87.93291,9-12,0,(205)372-4904,public
010169000582,Guntersville High School,14227 Highway 431 South,Guntersville,AL,35976,34.32,-86.3136,9-12,565,(256)582-2046,public
010171000588,Hale County High School,50 Wildcat Way,Moundville,AL,35474,32.99897,-87.62055,9-12,379,(205)371-2514,public
010171000875,College and Career Academy,19875 AL Hwy 69 N,Greensboro,AL,36744,32.722732,-87.592676,9-12,0,(334)624-3691,public
010171002162,Greensboro High School,1221 Baptist Hill Road,Greensboro,AL,36744,32.70837,-87.588282,9-12,294,(334)624-9156,public
010172000594,Haleyville High School,2001 20th St,Haleyville,AL,35565,34.2253,-87.6069,9-12,479,(205)486-3122,public
010172001370,Haleyville Center Of Technology,2007 20th St,Haleyville,AL,35565,34.2249,-87.6075,7-12,0,(205)486-9231,public
010173000599,Hartselle High School,1000 Bethel Road NE,Hartselle,AL,35640,34.455413,-86.921392,9-12,1031,(256)751-5615,public
010174000600,Abbeville High School,411 Graball Cutoff,Abbeville,AL,36310,31.5821,-85.2782,7-12,305,(334)585-2065,public
010174000604,Headland High School,8 Sporman St,Headland,AL,36345,31.3485,-85.3397,10-12,412,(334)585-7086,public
